Names
Aarav
Aarush
Aayush
Advik
Akarsh
Arnav
Aniruddh
Bhavin
Chirag
Darshit
Devansh
Dhruv
Divit
Divyansh
Eshan
Faiyaz
Gurkiran
Hansh
Harikira
Himmat
Hiran
Indrajit
Indranil
Jayesh
Kiaan
Lakshit
Lakshay
Madhup
Mitul
Neerav
Nishith
Ojas
Pranay
Priyans
Rachit
Reyansh
Ranbir
Rohan
Sahil
Samar
Shaan
Shlok
Shray
Shreyas
Tushar
Uthkars
Vaibhav
Vihaan
Vivaan
Yakshi


